codigo_onibus,codigo_linha,nome_linha,letreiro,distancia_percorrida,hora_requisicao,x,y,hora_gps,ponto_final,hora_final,segundos_deslocamento,geometry,modelo,tem_ar,tecnologia,sem_ar_l_km,sem_ar_kg_km,com_ar_l_km,com_ar_kg_km,emissao_co2
10211,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,411973.45135516586,04:06:00,-46.747024,-23.507776,2025-10-17 23:48:31-03:00,POINT (320733.2862344905 7401701.783957996),2025-10-17 23:48:31-03:00,141523.0,POINT (321620.0292269379 7399182.795512123),Básico,True,Básico,0.46,0.386,0.53,0.445,583.2019769419135
10212,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,710243.401043845,04:25:00,-46.7477165,-23.508383,2025-10-17 23:58:27-03:00,POINT (320451.8514194994 7402023.075319516),2025-10-17 23:58:27-03:00,123088.0,POINT (321550.1245660906 7399114.714390647),Padron,False,Padron,0.55,0.462,0.63,0.529,1043.3830683034605
10213,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,778780.9495350445,00:00:00,-46.687962,-23.57534225,2025-10-17 23:27:06-03:00,POINT (320666.1557869072 7401561.615491247),2025-10-17 23:27:06-03:00,66065.0,POINT (327739.8461418449 7391772.630286324),Padron,True,Padron,0.55,0.462,0.63,0.529,1310.4780672111053
10214,34024,8006-10,TERM. PIRITUBA - JD. DONÁRIA,387291.0125652296,05:35:00,-46.726492,-23.4868015,2025-10-16 23:59:33-03:00,POINT (322694.409078166 7399359.85958583),2025-10-16 23:59:33-03:00,66005.0,POINT (323688.9739090309 7401530.898094907),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,775.8407209212961
10215,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,498328.4887122662,05:10:00,-46.747236,-23.5078055,2025-10-16 23:59:25-03:00,POINT (324465.9350081807 7395892.156540998),2025-10-16 23:59:25-03:00,67615.0,POINT (321598.4180997275 7399179.265196186),Miniônibus,False,Miniônibus,0.3,0.252,0.35,0.294,399.3106180051389
10216,34025,8007-10,TERM. PIRITUBA - HAB. TURÍSTICA,773671.0573575706,00:00:00,-46.726208,-23.486233,2025-10-16 23:58:55-03:00,POINT (327715.6528920868 7389531.856310355),2025-10-16 23:58:55-03:00,-227.0,POINT (323717.22614335036 7401594.202849204),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,1549.8565456515532
10217,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,394791.5548023887,06:02:00,-46.747780500000005,-23.513978,2025-10-16 23:59:30-03:00,POINT (328552.3806357035 7389678.267239653),2025-10-16 23:59:30-03:00,64470.0,POINT (321551.13087111054 7398495.031792611),Miniônibus,True,Miniônibus,0.3,0.252,0.35,0.294,369.07088500701303
10218,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,410131.6522850954,06:17:00,-46.747791500000005,-23.5100945,2025-10-17 22:29:32-03:00,POINT (323830.5088479694 7403608.9012374645),2025-10-17 22:29:32-03:00,130698.0,POINT (321544.7721284189 7398925.085797589),Básico,True,Básico,0.46,0.386,0.53,0.445,580.5946709243495
10219,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,462056.3809953514,05:08:00,-46.7476265,-23.5143235,2025-10-16 23:59:23-03:00,POINT (320238.05534913274 7401941.376954584),2025-10-16 23:59:23-03:00,67740.0,POINT (321567.32342972414 7398456.96177881),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,925.6144452289377
10220,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,789574.3475571132,04:12:00,-46.744124,-23.5118545,2025-10-17 22:50:05-03:00,POINT (321176.38862601324 7401031.312567179),2025-10-17 22:50:05-03:00,133767.0,POINT (321921.6829579568 7398734.733989127),Miniônibus,True,Miniônibus,0.3,0.252,0.35,0.294,738.1335788137671
10221,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,113231.88207299792,04:26:00,-46.743605,-23.5121535,2025-10-17 15:00:47-03:00,POINT (327356.7629441793 7395012.01818955),2025-10-17 15:00:47-03:00,38059.0,POINT (321975.087177233 7398702.265857589),Padron,True,Padron,0.55,0.462,0.63,0.529,190.53868492069577
10222,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,845529.3343067311,05:05:00,-46.7438365,-23.5126755,2025-10-16 23:59:22-03:00,POINT (320695.73897039564 7407372.861823108),2025-10-16 23:59:22-03:00,109900.0,POINT (321952.147771662 7398644.17133411),Midiônibus,False,Midiônibus,0.4,0.336,0.47,0.395,903.3635407733116
10223,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,607499.024697406,05:36:00,-46.743537,-23.512411,2025-10-16 23:59:09-03:00,POINT (327274.06178204616 7395002.735710381),2025-10-16 23:59:09-03:00,66089.0,POINT (321982.3778559978 7398673.834094642),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,1216.9724212250785
10224,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,689208.0861380633,03:51:00,-46.724212,-23.4668595,2025-10-17 23:01:12-03:00,POINT (323790.6649823368 7403072.111316081),2025-10-17 23:01:12-03:00,136722.0,POINT (323895.37465950253 7403742.088604055),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,1380.6560985560752
10225,1342,847J-10,JAGUARÉ - CITY JARAGUÁ,1018374.2784659619,03:57:00,-46.7058805,-23.507304,2025-10-17 23:28:55-03:00,POINT (323830.5088479694 7403608.9012374645),2025-10-17 23:28:55-03:00,205817.0,POINT (325821.22993854235 7399285.582123833),Articulado (18m),True,Articulado (18m),0.71,0.596,0.8,0.672,2176.0621582260674
10226,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,744290.9783449117,04:40:00,-46.72480525,-23.47096675,2025-10-17 23:56:32-03:00,POINT (323854.45881765895 7403354.060309862),2025-10-17 23:56:32-03:00,138730.0,POINT (323840.22436624987 7403286.5218027495),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,1491.0009023694442
10227,1342,847J-10,JAGUARÉ - CITY JARAGUÁ,1118722.7893894934,04:50:00,-46.72480525,-23.47096675,2025-10-16 23:59:12-03:00,POINT (323956.78822271875 7405923.204587806),2025-10-16 23:59:12-03:00,137287.0,POINT (323840.22436624987 7403286.5218027495),Midiônibus,False,Midiônibus,0.4,0.336,0.47,0.395,1195.2434281837347
10228,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,675197.6505932107,05:17:00,-46.724658000000005,-23.470358500000003,2025-10-16 23:59:24-03:00,POINT (325345.9371545354 7401296.025531198),2025-10-16 23:59:24-03:00,67182.0,POINT (323854.45881765895 7403354.060309862),Miniônibus,False,Miniônibus,0.3,0.252,0.35,0.294,541.0358774203397
10229,2487,847J-21,CITY JARAGUA - TERM. LAPA,1085655.7878802181,00:00:00,-46.7009035,-23.520644500000003,2025-10-17 23:58:19-03:00,POINT (325209.18061498983 7397258.041846113),2025-10-17 23:58:19-03:00,134717.0,POINT (326347.0115307078 7397814.278327968),Biarticulado,False,Biarticulado,0.8,0.672,0.9,0.756,2319.82928754245
10230,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,512105.79267534823,04:31:00,-46.7447875,-23.5114815,2025-10-17 23:58:11-03:00,POINT (328296.13260196545 7390554.963755901),2025-10-17 23:58:11-03:00,133098.0,POINT (321853.4220223202 7398775.217538023),Miniônibus,False,Miniônibus,0.3,0.252,0.35,0.294,410.35037167075654
10401,2287,N131-11,VL. PIAUÍ - TERM. LAPA,574339.8215588157,00:00:00,-46.70027399999999,-23.5200125,2025-10-16 23:59:01-03:00,POINT (326376.5315289948 7397930.257455675),2025-10-16 23:59:01-03:00,-225.0,POINT (326410.46391059336 7397885.027966618),Articulado (18m),False,Articulado (18m),0.71,0.596,0.8,0.672,1089.1837810023535
10402,35057,N133-11,CID. D’ABRIL 3ª GLEBA - TERM. PIRITUBA,183750.9426115842,00:00:00,-46.7256575,-23.4854175,2025-10-16 23:59:33-03:00,POINT (319148.76036857313 7401961.280671103),2025-10-16 23:59:33-03:00,-88.0,POINT (323772.37135322636 7401685.187424619),Básico,False,Básico,0.46,0.386,0.53,0.445,225.76743314914907
10403,2289,N133-11,CID. D’ABRIL 3ª GLEBA - TERM. PIRITUBA,513878.93703658524,00:00:00,-46.726208,-23.486233,2025-10-16 23:59:25-03:00,POINT (325431.3942954251 7399224.875617461),2025-10-16 23:59:25-03:00,754.0,POINT (323717.22614335036 7401594.202849204),Básico,False,Básico,0.46,0.386,0.53,0.445,631.3824947793709
10404,33176,8047-10,LAPA - JARAGUÁ,413509.8059556785,05:35:00,-46.746196,-23.507344,2025-10-16 23:59:07-03:00,POINT (329480.29454784153 7402969.847161274),2025-10-16 23:59:07-03:00,66091.0,POINT (321704.00843567686 7399231.664653445),Miniônibus,True,Miniônibus,0.3,0.252,0.35,0.294,386.56964209766596
10405,35058,N134-11,TAIPAS - TERM. CACHOEIRINHA,520026.0059569436,00:00:00,-46.669429,-23.4744875,2025-10-17 23:56:51-03:00,POINT (324656.78866122186 7398455.3281294),2025-10-17 23:56:51-03:00,69907.0,POINT (329501.61946268874 7402963.394159591),Miniônibus,True,Miniônibus,0.3,0.252,0.35,0.294,486.1463116688487
10406,33176,8047-10,LAPA - JARAGUÁ,277225.29066850606,00:00:00,-46.71226790625,-23.518081125,2025-10-17 23:57:48-03:00,POINT (321629.27721491177 7399238.079640669),2025-10-17 23:57:48-03:00,26228.0,POINT (325183.14486597385 7398084.350406081),Miniônibus,True,Miniônibus,0.3,0.252,0.35,0.294,259.1640629814529
10407,454,888P-10,COHAB TAIPAS - PERUS,348493.5160586313,05:16:00,-46.75408225,-23.4211345,2025-10-17 23:57:20-03:00,POINT (323691.0733164471 7401564.482711004),2025-10-17 23:57:20-03:00,66853.0,POINT (320782.1928864643 7408768.8551901635),Articulado (18m),False,Articulado (18m),0.71,0.596,0.8,0.672,660.8865887887489
10408,578,8548-10,TERM. LAPA - PARADA DE TAIPAS,124291.47776661668,15:52:00,-46.700115,-23.5197335,2025-10-16 23:59:12-03:00,POINT (326303.7038257968 7397931.000364682),2025-10-16 23:59:12-03:00,29080.0,POINT (326426.3343244565 7397916.116890891),Miniônibus,False,Miniônibus,0.3,0.252,0.35,0.294,99.59476113438991
10409,33176,8047-10,LAPA - JARAGUÁ,664517.5083053046,04:52:00,-46.746196,-23.507344,2025-10-16 23:59:24-03:00,POINT (321823.0947477133 7405905.009206292),2025-10-16 23:59:24-03:00,68711.0,POINT (321704.00843567686 7399231.664653445),Midiônibus,True,Midiônibus,0.4,0.336,0.47,0.395,834.2153444012301
10410,33176,8047-10,LAPA - JARAGUÁ,607926.6603329605,05:08:00,-46.755714,-23.482234,2025-10-17 23:39:05-03:00,POINT (321244.12180774636 7399337.737764377),2025-10-17 23:39:05-03:00,129239.0,POINT (320697.9800364012 7402000.553681366),Miniônibus,False,Miniônibus,0.3,0.252,0.35,0.294,487.1316329248012
10411,406,8040-10,TERM. LAPA - SOL NASCENTE,237816.01336208486,04:42:00,-46.69955950000001,-23.519962,2025-10-16 23:59:15-03:00,POINT (321754.51409695664 7399181.551317316),2025-10-16 23:59:15-03:00,69316.0,POINT (326483.3592804149 7397891.484486035),Padron,False,Padron,0.55,0.462,0.63,0.529,349.3636144295708
10412,33176,8047-10,LAPA - JARAGUÁ,1380514.6120536698,04:18:00,-46.746196,-23.507344,2025-10-16 23:58:55-03:00,POINT (320885.47905814875 7402793.548141617),2025-10-16 23:58:55-03:00,125705.0,POINT (321704.00843567686 7399231.664653445),Articulado (18m),False,Articulado (18m),0.71,0.596,0.8,0.672,2618.0217154446996
10413,411,8047-51,LAPA - JARAGUÁ,1178990.5250431483,05:23:00,-46.750367,-23.4130405,2025-10-16 23:59:06-03:00,POINT (322520.1795827624 7399197.40873171),2025-10-16 23:59:06-03:00,118918.0,POINT (321150.9822611951 7409669.811016349),Articulado (18m),True,Articulado (18m),0.71,0.596,0.8,0.672,2519.2669539121994
10414,33176,8047-10,LAPA - JARAGUÁ,1110660.1017184244,04:43:00,-46.7555455,-23.485638,2025-10-16 23:58:58-03:00,POINT (323710.4737000538 7401586.534887893),2025-10-16 23:58:58-03:00,137929.0,POINT (320719.7959268795 7401623.797303554),Biarticulado,True,Biarticulado,0.8,0.672,0.9,0.756,2669.9158185209203
10416,408,8047-10,LAPA - JARAGUÁ,1227578.771042424,00:00:00,-46.75482875,-23.46418425,2025-10-17 23:11:33-03:00,POINT (322288.36054799095 7399121.244280735),2025-10-17 23:11:33-03:00,132038.0,POINT (320764.01243914914 7404000.524629958),Miniônibus,False,Miniônibus,0.3,0.252,0.35,0.294,983.6588692362942
10417,33174,8040-10,TERM. LAPA - SOL NASCENTE,795350.3513575981,00:18:00,-46.726419500000006,-23.513228,2025-10-17 23:58:20-03:00,POINT (326303.7038257968 7397931.000364682),2025-10-17 23:58:20-03:00,151982.0,POINT (323731.55195443414 7398604.482762718),Articulado (23m),True,Articulado (23m),0.75,0.63,0.85,0.714,1805.7236702047226
10418,33176,8047-10,LAPA - JARAGUÁ,1310757.6808557815,00:00:00,-46.7397545,-23.507599562500005,2025-10-16 23:59:19-03:00,POINT (320894.1922896126 7404081.608930016),2025-10-16 23:59:19-03:00,-179.0,POINT (322362.202111556 7399211.3478933815),Miniônibus,True,Miniônibus,0.3,0.252,0.35,0.294,1225.361817948027
10419,33176,8047-10,LAPA - JARAGUÁ,600619.778752394,02:02:00,-46.726419500000006,-23.513228,2025-10-16 23:59:01-03:00,POINT (321035.5178241275 7406888.334744997),2025-10-16 23:59:01-03:00,78857.0,POINT (323731.55195443414 7398604.482762718),Articulado (18m),False,Articulado (18m),0.71,0.596,0.8,0.672,1139.0213546238274
10420,406,8040-10,TERM. LAPA - SOL NASCENTE,529220.1549140266,01:59:00,-46.76353375,-23.494446250000003,2025-10-16 23:59:24-03:00,POINT (322975.27709001605 7401384.912539693),2025-10-16 23:59:24-03:00,75252.0,POINT (319915.81248856673 7400638.359201983),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,1060.1602753315237
10421,33176,8047-10,LAPA - JARAGUÁ,992109.1451407179,03:50:00,-46.7555455,-23.485638,2025-10-16 23:59:07-03:00,POINT (325337.7439677572 7397846.031855181),2025-10-16 23:59:07-03:00,70660.0,POINT (320719.7959268795 7401623.797303554),Articulado (18m),True,Articulado (18m),0.71,0.596,0.8,0.672,2119.9388213366856
10422,33176,8047-10,LAPA - JARAGUÁ,839421.5830313417,03:56:00,-46.756078,-23.4861935,2025-10-17 23:58:01-03:00,POINT (322505.6090374647 7401446.442086426),2025-10-17 23:58:01-03:00,176372.0,POINT (320666.1557869072 7401561.615491247),Básico,True,Básico,0.46,0.386,0.53,0.445,1188.3103755866582
10423,33174,8040-10,TERM. LAPA - SOL NASCENTE,378061.7267851342,04:29:00,-46.726122,-23.5140425,2025-10-17 23:57:16-03:00,POINT (321652.71970204904 7399211.768900171),2025-10-17 23:57:16-03:00,156432.0,POINT (323763.0176663728 7398514.649165707),Biarticulado,False,Biarticulado,0.8,0.672,0.9,0.756,807.8422977944747
10424,34027,8009-10,TERM. PIRITUBA - CID. D'ABRIL 3ª GLEBA,980225.6405175993,04:43:00,-46.737948,-23.4865765,2025-10-17 23:57:55-03:00,POINT (319730.32106078917 7406996.614423068),2025-10-17 23:57:55-03:00,95205.0,POINT (322518.52911199466 7401541.711563596),Midiônibus,True,Midiônibus,0.4,0.336,0.47,0.395,1230.5458623365785
10425,1260,8009-31,TERM. PIRITUBA - CID. D'ABRIL 3ª GLEBA,279118.4283180664,05:08:00,-46.753344,-23.4533175,2025-10-17 20:22:36-03:00,POINT (323276.0471828156 7407566.503346338),2025-10-17 20:22:36-03:00,134388.0,POINT (320901.03078999533 7405205.77799632),Articulado (18m),True,Articulado (18m),0.71,0.596,0.8,0.672,596.4202576300444
10426,34019,8001-10,TERM. LAPA - VL. PIAUÍ,718526.8322346759,04:24:00,-46.738164,-23.51413725,2025-10-17 23:06:31-03:00,POINT (322530.682072342 7398722.16901614),2025-10-17 23:06:31-03:00,134840.0,POINT (322533.3990127653 7398489.319062045),Miniônibus,False,Miniônibus,0.3,0.252,0.35,0.294,575.7555506696457
10427,34019,8001-10,TERM. LAPA - VL. PIAUÍ,628350.3116916767,00:00:00,-46.759893375,-23.503231125,2025-10-16 23:59:03-03:00,POINT (320192.6456767436 7399732.226993378),2025-10-16 23:59:03-03:00,-233.0,POINT (320299.5504990363 7399670.058381408),Básico,True,Básico,0.46,0.386,0.53,0.445,889.5115517400883
